CLUES,NOMBRE DE LA UNIDAD,NOMBRE COMERCIAL,REGION,NOMBRE DE LA INSTITUCION,CLAVE DE LA ENTIDAD,ENTIDAD,MUNICIPIO,LOCALIDAD,CLAVE DE LA JURISDICCION,JURISDICCION,NOMBRE TIPO ESTABLECIMIENTO,CLAVE TIPO DE VIALIDAD,TIPO DE VIALIDAD,VIALIDAD,NUMERO EXTERIOR,NUMERO INTERIOR,CLAVE TIPO DE ASENTAMIENTO,TIPO DE ASENTAMIENTO,ASENTAMIENTO,CODIGO POSTAL,REFERENCIAS DEL DOMICILIO,TELEFONO 1 DEL ESTABLECIMIENTO,NIVEL ATENCION,CLAVE ESTRATO UNIDAD,ESTRATO UNIDAD,CLAVE TIPO OBRA,TIPO OBRA,CLAVE PROPIEDAD DEL INMUEBLE,PROPIEDAD DEL INMUEBLE,OBSERVACIONES AL REGISTRO,LATITUD,LONGITUD
CSIMB000011,LAS BRISAS,LAS BRISAS,TAPACHULA,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,ACACOYAGUA,LAS BRISAS,7,TAPACHULA,DE CONSULTA EXTERNA,5,CALLE,CENTRAL CHIAPAS PONIENTE,SIN NÚMERO,,3,BARRIO,15 DE ENERO,30590,A DOS CUADRAS DE LA ESC. PRIM. VICENTE GUERRERO,9612556965,PRIMER NIVEL,1,RURAL,6,SIN MODIFICACION,1,PROPIO,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TTRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",15.341651,-92.680193
CSIMB000023,H. B. C. MANUEL VELASCO SUAREZ ACALA,H. B. C. MANUEL VELASCO SUAREZ ACALA,ACALA,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,ACALA,ACALA,1,TUXTLA GUTIERREZ,DE HOSPITALIZACIÓN,3,AVENIDA,MORELOS,SIN NÚMERO,,7,COLONIA,CRUZ MISION,29374,"AV. MORELOS S/N, ACALA",9616932973,SEGUNDO NIVEL,2,URBANO,6,SIN MODIFICACION,1,PROPIO,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TTRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",16.556405,-92.815191
CSIMB000035,VILLA DE ACALA,VILLA DE ACALA,ACALA,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,ACALA,ACALA,1,TUXTLA GUTIERREZ,DE CONSULTA EXTERNA,3,AVENIDA,MARIANO NANGO,10,,3,BARRIO,CANDELARIA,29372,"AV. MARIANO NANGO NO. 10, BARRIO CANDELARIA",9611170109,PRIMER NIVEL,2,URBANO,6,SIN MODIFICACION,5,OTRO,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TTRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",16.5592,-92.805065
CSIMB000040,CENTRO DE SALUD ACAPETAHUA,CENTRO DE SALUD ACAPETAHUA,TAPACHULA,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,ACAPETAHUA,ACAPETAHUA,7,TAPACHULA,DE CONSULTA EXTERNA,3,AVENIDA,1A SUR PONIENTE,SIN NÚMERO,,25,PUEBLO,ACAPETAHUA,30580,A UNA CUADRA DEL MERCADO,9621072019,PRIMER NIVEL,2,URBANO,6,SIN MODIFICACION,5,OTRO,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TTRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",15.280536,-92.690452
CSIMB000052,BARRA DE ZACAPULCO,BARRA DE ZACAPULCO,TAPACHULA,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,ACAPETAHUA,BARRA ZACAPULCO,7,TAPACHULA,DE CONSULTA EXTERNA,5,CALLE,SIN NOMBRE,SIN NÚMERO,,27,RANCHERÍA,BARRA ZACAPULCO,30586,A LADO DE LA AGENCIA COMUNITARIA,9627077504,PRIMER NIVEL,1,RURAL,6,SIN MODIFICACION,5,OTRO,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TTRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",15.19506,-92.884743
CSIMB000064,EJIDO LAS MURALLAS,EJIDO LAS MURALLAS,TAPACHULA,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,ACAPETAHUA,LAS MURALLAS,7,TAPACHULA,DE CONSULTA EXTERNA,23,CAMINO,SIN NOMBRE,SIN NÚMERO,,13,EJIDO,LAS MURALLAS,30587,A UN COSTADO DEL DOMO,9622113045,PRIMER NIVEL,1,RURAL,6,SIN MODIFICACION,5,OTRO,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TTRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",15.267016,-92.847315
CSIMB000076,BIENES COMUNALES LA LAGUNA,BIENES COMUNALES LA LAGUNA,OXCHUC,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,ALTAMIRANO,LA LAGUNA,9,OCOSINGO,DE CONSULTA EXTERNA,23,CAMINO,BIENES COMUNALES LA LAGUNA,SIN NÚMERO,,13,EJIDO,SIN NOMBRE,30194,A UN COSTADO DEL JARDÍN DE NIÑOS,9611321658,PRIMER NIVEL,1,RURAL,6,SIN MODIFICACION,1,PROPIO,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TTRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",16.691625,-91.949688
CSIMB000081,CENTRO DE SALUD GUADALUPE VICTORIA,CENTRO DE SALUD GUADALUPE VICTORIA,SIMOJOVEL,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,AMATAN,GUADALUPE VICTORIA,5,PICHUCALCO,DE CONSULTA EXTERNA,5,CALLE,ADOLFO LOPEZ MATEOS,SIN NÚMERO,,13,EJIDO,GUADALUPE VICTORIA,29704,FRENTE A LA CASA EJIDAL,9321067414,PRIMER NIVEL,1,RURAL,6,SIN MODIFICACION,5,OTRO,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TTRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",17.36899,-92.87236
CSIMB000093,UNIDAD MEDICA MOVIL EL LIMON,UNIDAD MEDICA MOVIL EL LIMON,SIMOJOVEL,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,AMATAN,EL LIMON,5,PICHUCALCO,DE CONSULTA EXTERNA,24,CARRETERA,SIN NOMBRE,SIN NÚMERO,,13,EJIDO,EL LIMON,29703,CASA EJIDAL DE LA COMUNIDAD,9196866781,PRIMER NIVEL,1,RURAL,6,SIN MODIFICACION,1,PROPIO,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TTRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",17.3087,-92.819002
CSIMB000105,CENTRO DE SALUD REFORMA Y PLANADA,CENTRO DE SALUD REFORMA Y PLANADA,SIMOJOVEL,SERVICIOS DE SALUD IMSS BIENESTAR ,7,CHIAPAS,AMATAN,REFORMA Y PLANADA,5,PICHUCALCO,DE CONSULTA EXTERNA,3,AVENIDA,GUADALUPE,SIN NÚMERO,,13,EJIDO,REFORMA Y PLANADA,29700,CERCA DE LA ESCUELA PRIMARIA LAS 3 GARANTIAS,9611757993,PRIMER NIVEL,1,RURAL,6,SIN MODIFICACION,5,OTRO,"ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TTRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.",17.386312,-92.865177
